App ID,Version Code
com.g_zhang.ICRAIG_PLUG,24
com.sensornetworks.smartgeyser,166
com.dlink.dlinkwifi,187
com.mx.gsenergia.gseapp,47
com.bluemotionlabs.bluescan,15
com.irislabapp.remotedishdenhath,2
ch.sooon.hub,30001
mobi.koni.appstofiretv,336
com.acuityst.keohome,1100451
com.huixiangjia.smart,107
com.kses.glamble,9
com.monoprice.stitch,7
com.beewi.trackerpad,30
com.panasonic.avc.cng.imageapp,11019002
com.ws.mesh.custom.neu,10203
eu.eaton.easycom.parameter,2
com.tplink.admin,3
com.arwin.gocheck,1
appinventor.ai_pjappzgermany.DualLaserLightsaber,4
com.netgear.neotvremotehd,13
com.fl.drone2,20
com.breo.luson.breo,58
com.toyama.apptouchartbluev20,8
com.gmail.arduinocentrale.free,14
com.hyundaiusa.hyundai.digitalcarkey,13
com.allremote.remotecontrolforlgtv,1
push.lite.avtech.com,92
com.signcomplex.gemstoneLishts_WiFi,13
com.kef.mobile_setup,2
com.elexa.dome,4
com.cardosystems.proconnect,126
com.danfoss.danfosseco,752
com.aypro.security.mobile,10
com.motgo.tvremoteandscreenmirrorig,1
de.ips.mobile,120
com.szforsight.electricity1,6
kr.co.openit.bpdiary,113
com.tti.dadson,78
net.micro_digital.homedevicecontroloverbluetooth,2
com.Astrum.Smarty,12
com.pairlink.futian.huepar,30
tr.makel.smarthome,30
bluerocket.cambridgesoundmanagement,24
com.trackway.shrinkcom,7
fi.cozify.app,16369
com.wickeddevice.thermotemobile,10100
com.confio.in,10000
com.eclipsecctv.eclipsehome,7
com.sshcmd.android.sshcmd,57
com.ekinex.delego,83
com.wifiaudio.VQsmarthome,2019091913
com.magnaconcept.ILOCK.MainApp,15
com.vuebell,83641
lk.dialog.smartlife,45
com.nix,3308
testo.android.reader,2200
cc.blynk.appexport.Cutting.Edge.Power,3
com.shiftmobility.car2mobile,11
at.viratec.miyo,15029
com.jchyun.dronertsviewer,20
eu.klonzlabs.klcjdh,108
com.readyforsky,1621616840
net.nitiraj.phoenixweighingscale,2
com.hubbleconnected.camthreehundred,22
com.SynDaverLabs.SynDaver_EKG_Simulator,8
com.MacDonaldsAwnings,214
io.konnected.konnected,10001
com.wifiaudio.WiFiControl,2020042616
com.seat.connectedcar.mediacontrol.alexa,10609
com.vdt.smartnode,159
com.wibo.farhodomotica,9
processing.test.floneremote,1
botnoke.ac_remote.for_voltas,1
com.mjacoustics.smartremote.mjsmartremoteble,82110701
com.myhearing,303010424
com.jimi.tuqiang.tracksolid.gpsangel,103
tw.lavo.smarthomev6,3
com.sangean.isangean,3
com.pms.mtvstreaming,7
com.cyclenbattPro.androidforAndroid,1
si.atech.barbas,10202
com.crea_si.eva_facial_mouse,84
com.aesopower.apps.poweroutlet,50
com.oksys.oksygen,30
com.studio.assistant,3
com.IPCamLive,60
com.ce.smart,19
com.orvibo.yidongtwo,40207308
com.slingmedia.stcapture,110
io.automate.swytch,4
com.owon.MultimeterBLE,42
in.miband.mibandapp,41
ru.thermosaur,34
com.gm.gmc.nomad.ownership,3775
com.bluino.switchiot,11
nl.homewizard.android.cleaner,57
com.matipay.modo,42
com.cammus.CsWindBooster,20191204
it.thinksimple.vitrumcloud,18
com.voice.controller.client,3
com.europhils.f6app,13100
com.loby.hb.vivobike,3
com.dreiha.news,3
com.GWView.mobile.phone,172
com.irainxun.wifilight,12
com.justcool,20061101
com.xqopen.iot.iHO,17
com.fuzdesigns.noke,31
com.psa.mym.mypeugeot,2123
com.schneider_electric.homeLYnKRemote,300000008
com.wattio.mobileapp,2152021
com.mybox.companion,2
com.kraftwerk9.insigniarc,2009291939
com.phonewatch.phonewatch,183
com.epson.mtgolf,13
puji.SmartHome.Tasker.Plugin,2
com.lci.fot,2
com.xyz.xyzrobot,17
com.tinxy,322000
com.roku.remote,124
com.fragileheart.alarmclock,47
com.ecofactor.mpowered,10438
com.klikaan.lightwaverf,282
com.DigitalComoedia.CosmicRaysLive,8
com.urmet.forwardme,20210430
com.securenettech.safehomesecurity6production,65
androidesko.android.electronicthermometer,42
com.easepal.project806c,9
com.cn.daqi.ismarthome,11
justPhone.remotePhoneTrial,32
com.shevauto.remotexy.free,4712
zzsino.com.wifi.smartsocket,11
de.ade.fitvigo,1010369
com.rp.podemu,67
com.phiradar.fishfinder,143
com.ztoapps.foscamalarm.demo,38
com.romt.tvremoteforprotontv,1
com.spled.ppze,6
com.xbb.lifestyle,4
cz.quanti.helios_nfc,1149
com.ismartgate.app,20
com.samsung.accessory,319411207
com.ear.pro,3
com.tecordeon.mozzie,5
com.technogym.mywellness.maroondahleisure,10
com.edean.smart,8
com.frack.xeq,41
com.seecare.bewell,279
com.dekorlighting.wifiremote,16
com.muving,434
com.uhssystems.ultrasyncplus,334
com.xiaojianming.ioslightui,2
com.shadowtrack247.stlock,9
com.bdrthermea.roomunitapplication.brotje,27013757
com.airwatch.admin.lg,90
de.ihaus.appv2,1613059289
com.weedle.gree_ac_remotes,9205
com.servicespot.high,60
com.desn.moreCar,20112501
com.app.iotbind,10021
com.abhijitvalluri.android.fitnotifications,45
com.unicus.medisensor,10000
com.github.yashx.arduinobluetoothswitcheshc_05andhc_06,20
az_88363.cloudnest.com.az_88363,14
com.amazon.comppai,1192651
com.generalcomp.pano360s,1867
com.didattica.applicazioni.andrea.testlanhost,14
com.ipc360,3090048
com.foracare.tdlink.cs,52
com.callahtech.presencesensor,27
com.appestry.romyo,3
com.csa.bluetoothremote,4
com.optirisk.apollo.tpms.centauroHungary,7
com.szshilong.blelight,35
com.sena.sfutilplus,14
com.mmote.universalRemote,1
com.namsung.dualiplug,44
com.shenzhen.android.c2ckeyfinder,2
com.eospy.sensortag,46
fr.enman.easyhome,20000004
cz.prochazkaa.hqpdcontrolv4,432
com.kinomap.training,200
tw.com.arditech.smartelock,9
com.leadthefleetclient.android,216
com.legrand.intuity,1551413926
com.babydelight.android,9
com.kloee,316
de.grauonline.ardumag1,3
com.rfo.IRaceradvanced,52000
com.app.becsys,10
mangoh.io.octave,15
confielder.changhong_tv.remote_controller,7
com.orvito.spark.phone,4
free.dnss.dahua,4
com.wnhz.shidaodianqi,8
com.yamaha.dkv.enspire,10000017
com.bluetooth.IMND20,3
com.ballewar.phonebatteryprovider,18
com.viso.vr.msolo,91011621
com.merkury.homebundle,1
com.adsi,17
com.pd.gsapro,1095
com.wuliangeneral.smarthomev5,575
com.uei.nevosmart.phones,6
com.tamretail.mic,3
com.ilevia.beonly,20210050
com.zehndergroup.evalvecontrol,24
com.gewiss.thermoice,10130
com.wifiaudio.VOXX,2019123017
com.dawnwin.kb,7
Atbs.iTpms,33
com.protodev.remoteelevator.limited,8
com.data_action.pickbuster,16
com.daikin.skyfi,2
com.securenettech.ghs6production,62
com.arduino.ethernetkit,42
mobiletoolsshop.universaltvremotecontrol.tvremotecontrol,10
com.mobileintegratedsolutions.mobilincx,55
com.oneapollo.missioncontrol,2
com.noras.usafe,11
com.pkinno.ble.bipass_plus,203
elshab7.engineering.elshab7_rc_controller,2
com.prizma.link,9
com.rtitech.cafooto,2
com.logicalthinking.electcigarette.medical.dime,583
wirelessdisplayfinder.agillaapps.com.wirelessdisplayfinder,11
com.appzeeinc.micro_drone_remote_control_app,1
de.avm.android.smarthome,1015
com.fca.myconnect,764
com.powermanelec.invertermate,10
com.errorcode.analyzer,411
com.irobotix.betterlife,2
de.egi.geofence.geozone.bt,131
com.mjacoustics.smartremote.mjsmartremote,106
com.azuresc.homeconnect.eu,97
com.hogarpro,4195734
com.jao.freewifi.wifimanager,8
com.cooperlighting.allpro.outdoor,26
com.tsv.smarthome1,213
com.demostic.demostic_X900AS,21
com.samsung.washer,2001040
com.chuango.g5w,20
com.macrovideo.ottcam,5
sk.tssgroup.snipermax,15
com.shuoying.wificam.konigactioncam2,2
com.yivr.camera.v10.google,16
com.evothings.evothingsviewer,89
cn.chuango.l020,44
cn.carassist.control,311
com.macdom.ble.blescanner,29
com.Solivia,19000001
com.nxcontrol.nxhousekeeper,22
com.northstarhome.northstaralarm,310
com.revogi.delite,20190325
victor.example.shengivictor.ev3commander,22
com.steelmantools.smartearL1,5
com.securenettech.vss6production,62
com.cameralite,1
com.zmodo,376
com.vbreathe.app,37
com.smartwave.smart,5
flashcast.com.flashcast,18
com.ecovacs.ecosphere.international,43
com.aacbrands.rmt,100
com.appmyproduct.heat,20109
com.urbandroid.hue,81
com.swellstudio.glomexengineering.zigboat,10
com.securenetmonitoring.acom,1100412
com.tcl.android.ipq,101000006
com.silvan.demo,40701
